system_id,benchmark,scenario,perf_metric,perf_value
A100-PCIex1_TRT,3d-unet-99,Offline,Samples per second,38.1951
A100-PCIex1_TRT,3d-unet-99,SingleStream,90th percentile latency \(ns\),35284801.0
A100-PCIex1_TRT,3d-unet-99.9,Offline,Samples per second,38.1951
A100-PCIex1_TRT,3d-unet-99.9,SingleStream,90th percentile latency \(ns\),35284801.0
A100-PCIex1_TRT,bert-99,Offline,Samples per second,2859.17
A100-PCIex1_TRT,bert-99,SingleStream,90th percentile latency \(ns\),1759950.0
A100-PCIex1_TRT,resnet50,MultiStream,Samples per query,1344.0
A100-PCIex1_TRT,resnet50,Offline,Samples per second,32008.2
A100-PCIex1_TRT,resnet50,SingleStream,90th percentile latency \(ns\),518641.0
A100-PCIex1_TRT,rnnt,Offline,Samples per second,8650.5
A100-PCIex1_TRT,rnnt,SingleStream,90th percentile latency \(ns\),31468586.0
A100-PCIex1_TRT,ssd-mobilenet,MultiStream,Samples per query,1600.0
A100-PCIex1_TRT,ssd-mobilenet,Offline,Samples per second,44370.9
A100-PCIex1_TRT,ssd-mobilenet,SingleStream,90th percentile latency \(ns\),350254.0
A100-PCIex1_TRT,ssd-resnet34,MultiStream,Samples per query,48.0
A100-PCIex1_TRT,ssd-resnet34,Offline,Samples per second,852.186
A100-PCIex1_TRT,ssd-resnet34,SingleStream,90th percentile latency \(ns\),1988396.0
A100-PCIex1_TRT_Triton,3d-unet-99,Offline,Samples per second,35.3979
A100-PCIex1_TRT_Triton,3d-unet-99,SingleStream,90th percentile latency \(ns\),44937372.0
A100-PCIex1_TRT_Triton,3d-unet-99.9,Offline,Samples per second,35.3979
A100-PCIex1_TRT_Triton,3d-unet-99.9,SingleStream,90th percentile latency \(ns\),44937372.0
A100-PCIex1_TRT_Triton,bert-99,Offline,Samples per second,2734.56
A100-PCIex1_TRT_Triton,bert-99,SingleStream,90th percentile latency \(ns\),1949327.0
A100-PCIex1_TRT_Triton,resnet50,MultiStream,Samples per query,1344.0
A100-PCIex1_TRT_Triton,resnet50,Offline,Samples per second,33422.7
A100-PCIex1_TRT_Triton,resnet50,SingleStream,90th percentile latency \(ns\),562560.0
A100-PCIex1_TRT_Triton,ssd-mobilenet,MultiStream,Samples per query,1600.0
A100-PCIex1_TRT_Triton,ssd-mobilenet,Offline,Samples per second,44134.4
A100-PCIex1_TRT_Triton,ssd-mobilenet,SingleStream,90th percentile latency \(ns\),372694.0
A100-PCIex1_TRT_Triton,ssd-resnet34,MultiStream,Samples per query,48.0
A100-PCIex1_TRT_Triton,ssd-resnet34,Offline,Samples per second,852.183
A100-PCIex1_TRT_Triton,ssd-resnet34,SingleStream,90th percentile latency \(ns\),2038186.0
A100-PCIex2_TRT,3d-unet-99,Offline,Samples per second,75.1293
A100-PCIex2_TRT,3d-unet-99.9,Offline,Samples per second,75.1293
A100-PCIex2_TRT,bert-99,Offline,Samples per second,5665.3
A100-PCIex2_TRT,bert-99,Server,Scheduled samples per second,5199.74
A100-PCIex2_TRT,bert-99.9,Offline,Samples per second,2815.49
A100-PCIex2_TRT,bert-99.9,Server,Scheduled samples per second,2427.82
A100-PCIex2_TRT,dlrm-99,Offline,Samples per second,458955.0
A100-PCIex2_TRT,dlrm-99,Server,Scheduled samples per second,385085.3
