Organization,Availability,Division,SystemType,Platform,Model,MlperfModel,Scenario,Result,Accuracy,Location
Inspur,available,open,edge,T4x1_TRT,resnet50,resnet,Offline,12955.5,75.856,open/Inspur/results/T4x1_TRT/resnet50/Offline
Inspur,available,open,edge,T4x1_TRT,resnet50,resnet,SingleStream,0.660157,75.856,open/Inspur/results/T4x1_TRT/resnet50/SingleStream
Inspur,on-premise,open,datacenter,DGX-A100_A100-SXM4x8_TRT,resnet50,resnet,Offline,549782.0,75.856,open/Inspur/results/DGX-A100_A100-SXM4x8_TRT/resnet50/Offline
Inspur,on-premise,open,datacenter,DGX-A100_A100-SXM4x8_TRT,resnet50,resnet,Server,420097.36,75.856,open/Inspur/results/DGX-A100_A100-SXM4x8_TRT/resnet50/Server
Inspur,available,open,datacenter,T4x20_TRT,resnet50,resnet,Offline,259448.0,75.856,open/Inspur/results/T4x20_TRT/resnet50/Offline
Inspur,available,open,datacenter,T4x20_TRT,resnet50,resnet,Server,190027.38,75.856,open/Inspur/results/T4x20_TRT/resnet50/Server
Inspur,on-premise,open,datacenter,A100-PCIex8_TRT,resnet50,resnet,Offline,298098.0,75.856,open/Inspur/results/A100-PCIex8_TRT/resnet50/Offline
Inspur,available,open,datacenter,T4x8_TRT,resnet50,resnet,Offline,102224.0,75.856,open/Inspur/results/T4x8_TRT/resnet50/Offline
Inspur,available,open,datacenter,T4x8_TRT,resnet50,resnet,Server,90015.51,75.856,open/Inspur/results/T4x8_TRT/resnet50/Server
Inspur,on-premise,open,edge,DGX-A100_A100-SXM4x1_TRT,resnet50,resnet,Offline,68994.6,75.856,open/Inspur/results/DGX-A100_A100-SXM4x1_TRT/resnet50/Offline
Inspur,on-premise,open,edge,DGX-A100_A100-SXM4x1_TRT,resnet50,resnet,SingleStream,0.408267,75.858,open/Inspur/results/DGX-A100_A100-SXM4x1_TRT/resnet50/SingleStream
Inspur,available,closed,edge,T4x1_TRT,3d-unet-99.9,3d-unet-99.9,Offline,7.43324,0.85367,closed/Inspur/results/T4x1_TRT/3d-unet-99.9/Offline
Inspur,available,closed,edge,T4x1_TRT,3d-unet-99.9,3d-unet-99.9,SingleStream,153.653216,0.85367,closed/Inspur/results/T4x1_TRT/3d-unet-99.9/SingleStream
Inspur,available,closed,edge,T4x1_TRT,bert-99,bert-99,Offline,443.696,90.43326524910879,closed/Inspur/results/T4x1_TRT/bert-99/Offline
Inspur,available,closed,edge,T4x1_TRT,bert-99,bert-99,SingleStream,6.245274,90.39787134425293,closed/Inspur/results/T4x1_TRT/bert-99/SingleStream
Inspur,available,closed,edge,T4x1_TRT,rnnt,rnnt,Offline,1500.4,92.55225596969493,closed/Inspur/results/T4x1_TRT/rnnt/Offline
Inspur,available,closed,edge,T4x1_TRT,rnnt,rnnt,SingleStream,64.227088,92.56127533879005,closed/Inspur/results/T4x1_TRT/rnnt/SingleStream
